,isic_section_index,isic_section_name,industry_name,Industry_group_sk,Industry_group_name,industry_id,industry_migration_2015_mean,industry_migration_2015_median,industry_migration_2016_mean,industry_migration_2016_median,industry_migration_2017_mean,industry_migration_2017_median,industry_migration_2018_mean,industry_migration_2018_median,industry_migration_2019_mean,industry_migration_2019_median,surrogate keys
90,j,information and communication,semiconductors,19.0,hardware and netwoking,7,42.195,31.105,64.41714285714286,34.55,64.16678571428572,13.525,32.4975,5.720000000000001,11.135000000000003,-16.145,91
91,r,"arts, entertainment and recreation",gambling and casinos,14.0,recreation and travel,29,147.63733333333332,73.42,179.87066666666666,44.83,149.39733333333334,86.54,141.13733333333332,92.42,59.954,11.19,92
92,c,manufacturing,paper and forest products,10.0,manufacturing,61,32.86764705882353,23.63,43.28176470588235,35.53,28.23176470588235,4.96,32.08588235294118,18.95,32.48235294117647,34.16,93
93,m,professional scientific and technical activities,veterinary,12.0,healthcare,16,47.510000000000005,47.9,53.118,36.72,99.264,103.92,51.916,51.54,48.11,62.0,94
94,r,"arts, entertainment and recreation",fine art,2.0,art,38,132.32999999999998,67.59,56.06153846153847,42.1,110.87,105.71,71.10538461538462,57.41,35.12769230769231,57.99,95
95,r,"arts, entertainment and recreation",performing arts,2.0,art,39,54.78545454545454,38.52,42.31363636363636,44.66,47.01363636363636,38.09,29.313636363636363,31.38,21.32272727272727,13.32,96
96,o,public administration and defence; compulsory social security,law enforcement,21.0,public safety,77,9.71875,-0.98,10.85,4.07,0.9,3.4650000000000003,6.915000000000001,4.69,0.6162500000000004,2.65,97
97,o,public administration and defence; compulsory social security,public policy,20.0,public administration,79,121.58071428571428,93.63,96.33357142857142,58.02499999999999,111.31857142857142,110.365,66.12428571428572,24.66,19.409285714285712,24.595,98
98,s,other service activities,religious institutions,13.0,nonprofit,89,52.49125,32.13,31.012500000000003,15.89,3.16,-2.99,7.95,0.935,6.52625,6.19,99
99,n,administrative and support service activities,fundraising,13.0,nonprofit,101,124.905,112.425,121.92,79.215,101.895,90.43,103.63,105.085,68.1625,74.895,100
100,x,not_mapped,think tanks,13.0,nonprofit,130,111.6376923076923,64.74,150.20538461538462,146.28,132.76307692307694,128.11,187.0076923076923,209.97,76.84846153846155,89.89,101
101,x,not_mapped,philanthropy,13.0,nonprofit,131,150.025,110.3,169.875,96.175,160.029,130.625,140.544,121.535,70.28299999999999,81.8,102
102,q,human health and social work activities,mental health care,12.0,healthcare,139,62.138571428571424,42.06,90.61571428571428,79.46,68.28142857142856,56.65,69.45714285714287,65.37,38.25428571428571,27.44,103
103,m,professional scientific and technical activities,graphic design,17.0,design,140,47.13,33.195,29.93875,34.915,49.935,41.995,32.99,34.83,37.755,30.805,104
104,o,public administration and defence; compulsory social security,political organization,20.0,public administration,107,45.3609090909091,21.27,43.11909090909091,26.32,55.24727272727273,26.36,15.01909090909091,8.89,45.643636363636354,-4.12,105
105,o,public administration and defence; compulsory social security,judiciary,20.0,public administration,73,-51.44166666666666,-47.98,70.81166666666668,21.765,85.53833333333334,27.0,35.186666666666675,-13.075,71.87666666666667,8.44,106
106,x,not_mapped,program development,13.0,nonprofit,102,100.425,84.045,146.64,82.005,84.37,47.36,75.53,50.79,81.9275,83.065,107
107,j,information and communication,wireless,19.0,hardware and netwoking,119,54.94285714285714,58.38,78.38285714285713,72.77,48.417142857142856,47.9,71.09571428571428,54.06,24.237142857142857,22.83,108
108,c,manufacturing,railroad manufacture,10.0,manufacturing,62,53.596,-6.68,61.236,48.14,29.224,33.28,6.764000000000001,14.34,0.5439999999999998,10.13,109
109,o,public administration and defence; compulsory social security,legislative office,20.0,public administration,72,-19.38,-19.38,-6.74,-6.74,9.74,9.74,-16.34,-16.34,-1.27,-1.27,110
110,r,"arts, entertainment and recreation",libraries,13.0,nonprofit,85,12.91,12.91,15.98,15.98,6.09,6.09,4.02,4.02,4.02,4.02,111
111,h,transportation and storage,warehousing,15.0,transportation and logistics,93,-4.42,-4.42,5.9,5.9,11.11,11.11,-1.6,-1.6,-1.46,-1.46,112
112,m,professional scientific and technical activities,nanotechnology,19.0,hardware and networking,114,39.93,39.93,20.24,20.24,50.17,50.17,14.62,14.62,20.84,20.84,113
